constituency;gss_code;three_code;nation;region;con_type;electorate;area;density;center_lat;center_lon
North Warwickshire and Bedworth;E14001400;NWB;England;West Midlands;county;70245;266,4798452;263,6034254;52,5447992;-1,626998266
North West Cambridgeshire;E14001401;NWC;England;Eastern;county;73556;388,2505946;189,4549578;52,53814981;-0,282468665
North West Essex;E14001402;NWE;England;Eastern;county;76280;621,5081692;122,7337045;51,90488023;0,303130537
North West Hampshire;E14001403;NWH;England;South East;county;76004;446,2969034;170,2991874;51,2890101;-1,327118631
North West Leicestershire;E14001404;NWL;England;East Midlands;county;75373;236,8768873;318,1948262;52,76396569;-1,384826921
North West Norfolk;E14001405;NWN;England;Eastern;county;75200;910,2897586;82,61105795;52,82214367;0,514514047
Northampton North;E14001406;NHN;England;East Midlands;borough;75713;30,86312239;2453,186655;52,26005414;-0,884150395
Northampton South;E14001407;NHS;England;East Midlands;borough;71512;49,90881651;1432,853051;52,22962253;-0,888615504
Norwich North;E14001408;NRN;England;Eastern;borough;71441;42,06873277;1698,1971;52,65650953;1,299919
Norwich South;E14001409;NRS;England;Eastern;borough;73301;30,26826181;2421,711576;52,62457158;1,274202987
Nottingham East;E14001410;NGE;England;East Midlands;borough;75327;21,67565073;3475,189786;52,96518888;-1,140461389
Nottingham North and Kimberley;E14001411;NGN;England;East Midlands;borough;74515;40,01035666;1862,392796;52,99426993;-1,217816769
Nottingham South;E14001412;NGS;England;East Midlands;borough;76076;32,30023918;2355,276677;52,93727521;-1,19206506
Nuneaton;E14001413;NUN;England;West Midlands;county;70335;83,02308897;847,1739714;52,52312606;-1,518446641
Old Bexley and Sidcup;E14001414;OBS;England;London;borough;74317;26,98633354;2753,875398;51,43972389;0,118170637
Oldham East and Saddleworth;E14001415;OLE;England;North West;county;72997;104,4098043;699,1393242;53,55731726;-2,018904059
Oldham West, Chadderton and Royton;E14001416;OLW;England;North West;borough;74183;30,83848205;2405,533446;53,54425645;-2,135468195
Orkney and Shetland;S14000051;OAS;Scotland;Scotland;county;34824;2743,861062;12,69160472;59,85701458;-1,977086187
Orpington;E14001417;ORP;England;London;borough;71571;67,87081995;1054,517981;51,35775571;0,093803694
Ossett and Denby Dale;E14001418;ODB;England;Yorkshire and the Humber;county;71595;140,5225112;509,4913219;53,61992303;-1,613198878
Oxford East;E14001419;OXE;England;South East;borough;72371;28,0494655;2580,120466;51,74562695;-1,220751927
Oxford West and Abingdon;E14001420;OXW;England;South East;county;72004;107,5777001;669,3208717;51,7227577;-1,2978493
Paisley and Renfrewshire North;S14000101;PRN;Scotland;Scotland;borough;69941;89,32745152;782,9731937;55,89010402;-4,477738824
Paisley and Renfrewshire South;S14000102;PRS;Scotland;Scotland;county;69813;149,505277;466,9601059;55,8179928;-4,569992071
Peckham;E14001421;PKM;England;London;borough;71176;8,123357153;8761,894702;51,47775617;-0,073001955
Pendle and Clitheroe;E14001422;PDL;England;North West;county;76941;236,9440529;324,7222247;53,86333073;-2,237430274
Penistone and Stocksbridge;E14001423;PAS;England;Yorkshire and the Humber;county;71377;293,7941859;242,9489875;53,49799214;-1,623217662
Penrith and Solway;E14001424;PEN;England;North West;county;76720;2032,759891;37,7417915;54,7396239;-3,017924464
Perth and Kinross-shire;S14000103;PHK;Scotland;Scotland;county;76320;1453,468909;52,50886313;56,34948655;-3,64649693
Peterborough;E14001425;PBO;England;Eastern;county;72273;172,3857533;419,2515832;52,61694594;-0,158195651
Plymouth Moor View;E14001426;PMV;England;South West;borough;73378;35,20424799;2084,35073;50,41285568;-4,141790956
Plymouth Sutton and Devonport;E14001427;PSD;England;South West;borough;73495;21,82467287;3367,518974;50,37953601;-4,140486775
Pontefract, Castleford and Knottingley;E14001428;PCK;England;Yorkshire and the Humber;county;72751;73,51828218;989,5633826;53,70001704;-1,313440249
Pontypridd;W07000106;PPD;Wales;Wales;county;73743;141,7424748;520,2604236;51,59342893;-3,369393796
Poole;E14001429;PLE;England;South West;borough;72162;40,04342465;1802,093618;50,7202948;-1,969791419
Poplar and Limehouse;E14001430;PAL;England;London;borough;75814;10,94657363;6925,82013;51,50628819;-0,022889009
Portsmouth North;E14001431;PON;England;South East;borough;71844;43,15446227;1664,810456;50,83047097;-1,077678255
Portsmouth South;E14001432;POS;England;South East;borough;74253;16,98466414;4371,767342;50,79496847;-1,08014512
Preston;E14001433;PRE;England;North West;borough;72946;41,03341731;1777,721788;53,77203349;-2,709595014
Putney;E14001434;PUT;England;London;borough;73041;14,13814413;5166,236766;51,45310886;-0,221763626
Queen's Park and Maida Vale;E14001435;QPK;England;London;borough;75256;7,616116338;9881,151582;51,53127326;-0,207637102
Rawmarsh and Conisbrough;E14001436;RAC;England;Yorkshire and the Humber;county;70272;100,5104491;699,151189;53,47525788;-1,304458377
Rayleigh and Wickford;E14001437;RAW;England;Eastern;county;76422;68,68440563;1112,654311;51,60675332;0,61164786
Reading Central;E14001438;RDG;England;South East;borough;71283;25,76780468;2766,359062;51,45960651;-0,977623732
Reading West and Mid Berkshire;E14001439;RDW;England;South East;county;69999;313,7051588;223,1362732;51,4528112;-1,158947088
Redcar;E14001440;RED;England;North East;borough;71331;82,62462063;863,3141;54,58947934;-1,102341154
Redditch;E14001441;RDC;England;West Midlands;county;69921;188,0823332;371,7574045;52,24043327;-1,997627565
Reigate;E14001442;REI;England;South East;county;76139;87,56845669;869,479752;51,27218327;-0,20320858
Rhondda and Ogmore;W07000107;RAO;Wales;Wales;county;73557;199,8309345;368,0961618;51,62337861;-3,500969174
Ribble Valley;E14001443;RIV;England;North West;county;75993;648,8935685;117,1116554;53,89160622;-2,505477721
Richmond and Northallerton;E14001444;RAN;England;Yorkshire and the Humber;county;72744;1902,197038;38,24209508;54,37543486;-1,745297265
Richmond Park;E14001445;RPK;England;London;borough;75037;36,52995555;2054,122401;51,44942493;-0,279387827
Rochdale;E14001446;RCD;England;North West;county;71697;79,71795327;899,3833516;53,63282173;-2,103448727
Rochester and Strood;E14001447;RAS;England;South East;county;72155;208,8993343;345,4056005;51,44184548;0,567954952
Romford;E14001448;RMF;England;London;borough;73730;29,74652205;2478,609092;51,59098377;0,180747194
Romsey and Southampton North;E14001449;RSO;England;South East;county;73831;535,7977428;137,7963998;51,10069552;-1,515465539
Rossendale and Darwen;E14001450;RAD;England;North West;county;74593;218,2032204;341,85105;53,6823458;-2,345916244
